City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,80.65,61,33,"{'speed': 11.5, 'deg': 90}",CK,200
1,yellowknife,62.456,-114.3525,43.83,70,14,"{'speed': 3.69, 'deg': 122, 'gust': 4.81}",CA,200
2,atuona,-9.8,-139.0333,81.45,77,18,"{'speed': 14.58, 'deg': 93, 'gust': 14.41}",PF,200
3,bonavista,48.6499,-53.1147,33.46,97,100,"{'speed': 19.62, 'deg': 0, 'gust': 31.45}",CA,200
4,ketchikan,55.3422,-131.6461,46.87,87,100,"{'speed': 12.66, 'deg': 120}",US,200
5,luganville,-15.5333,167.1667,82.38,74,55,"{'speed': 5.21, 'deg': 145, 'gust': 6.38}",VU,200
6,alofi,-19.0595,-169.9187,78.31,65,3,"{'speed': 14.38, 'deg': 94, 'gust': 14.25}",NU,200
7,antofagasta,-23.65,-70.4,65.48,82,7,"{'speed': 5.01, 'deg': 211, 'gust': 5.99}",CL,200
8,codrington,-38.2667,141.9667,53.44,81,0,"{'speed': 6.64, 'deg': 352, 'gust': 10.56}",AU,200
9,bredasdorp,-34.5322,20.0403,64.62,82,100,"{'speed': 6.31, 'deg': 316, 'gust': 9.98}",ZA,200
10,matay,28.419,30.7792,71.58,34,17,"{'speed': 15.93, 'deg': 5, 'gust': 26.73}",EG,200
11,margate,51.3813,1.3862,47.89,89,99,"{'speed': 7, 'deg': 354, 'gust': 10}",GB,200
12,punta arenas,-53.15,-70.9167,44.71,65,0,"{'speed': 6.91, 'deg': 340}",CL,200
13,mar del plata,-38.0023,-57.5575,62.94,90,4,"{'speed': 3.44, 'deg': 100}",AR,200
14,kavieng,-2.5744,150.7967,80.92,78,100,"{'speed': 4.07, 'deg': 70, 'gust': 7.23}",PG,200
15,bluff,-46.6,168.3333,52.81,66,56,"{'speed': 25.75, 'deg': 238, 'gust': 33.11}",NZ,200
16,beringovskiy,63.05,179.3167,25.72,88,100,"{'speed': 14.14, 'deg': 113, 'gust': 18.66}",RU,200
17,alto araguaia,-17.3147,-53.2153,71.53,82,80,"{'speed': 3.78, 'deg': 66, 'gust': 4.07}",BR,200
18,leningradskiy,69.3833,178.4167,3.47,88,28,"{'speed': 15.95, 'deg': 113, 'gust': 25.61}",RU,200
19,cape town,-33.9258,18.4232,65.37,92,75,"{'speed': 16.11, 'deg': 350}",ZA,200
20,hithadhoo,-0.6,73.0833,83.1,76,97,"{'speed': 5.32, 'deg': 294, 'gust': 6.06}",MV,200
21,grand gaube,-20.0064,57.6608,77.4,81,84,"{'speed': 5.01, 'deg': 64, 'gust': 8.99}",MU,200
22,killybegs,54.6333,-8.45,46.2,77,100,"{'speed': 12.84, 'deg': 18, 'gust': 17.58}",IE,200
23,vaini,-21.2,-175.2,82.56,69,40,"{'speed': 12.66, 'deg': 90}",TO,200
24,albany,42.6001,-73.9662,53.64,86,97,"{'speed': 6.49, 'deg': 357, 'gust': 12.68}",US,200
25,cherskiy,68.75,161.3,32.13,68,100,"{'speed': 4.43, 'deg': 78, 'gust': 4.32}",RU,200
26,puerto ayacucho,5.6639,-67.6236,83.71,71,84,"{'speed': 1.16, 'deg': 147, 'gust': 3.24}",VE,200
27,shache,38.4167,77.2406,57.7,29,0,"{'speed': 6.55, 'deg': 317, 'gust': 6.85}",CN,200
28,noyon,49.5833,3.0,45.25,93,40,"{'speed': 7.9, 'deg': 233, 'gust': 24.76}",FR,200
29,bonoua,5.2741,-3.595,83.82,91,72,"{'speed': 4.45, 'deg': 212, 'gust': 9.95}",CI,200
30,port lincoln,-34.7333,135.8667,63.55,61,0,"{'speed': 9.37, 'deg': 24, 'gust': 15.55}",AU,200
31,kailua,21.4022,-157.7394,84.18,65,0,"{'speed': 8.05, 'deg': 70}",US,200
32,georgetown,5.4112,100.3354,78.73,93,20,"{'speed': 5.01, 'deg': 70, 'gust': 0}",MY,200
33,mahebourg,-20.4081,57.7,77.29,88,40,"{'speed': 4.61, 'deg': 10}",MU,200
34,east london,-33.0153,27.9116,68.22,62,100,"{'speed': 7.78, 'deg': 19, 'gust': 11.1}",ZA,200
35,esperance,-33.8667,121.9,67.69,40,68,"{'speed': 18.59, 'deg': 351, 'gust': 37.2}",AU,200
36,oranjemund,-28.55,16.4333,60.04,78,100,"{'speed': 4.29, 'deg': 214, 'gust': 5.28}",,200
37,jamestown,42.097,-79.2353,43.02,66,100,"{'speed': 10.36, 'deg': 260}",US,200
38,birao,10.2849,22.7882,79.0,64,100,"{'speed': 12.48, 'deg': 199, 'gust': 25.48}",CF,200
39,hermanus,-34.4187,19.2345,65.8,91,100,"{'speed': 8.75, 'deg': 342, 'gust': 13.85}",ZA,200
40,ambilobe,-13.2,49.05,73.38,96,4,"{'speed': 2.82, 'deg': 102, 'gust': 3.42}",MG,200
41,neiafu,-18.65,-173.9833,81.28,78,40,"{'speed': 9.22, 'deg': 100}",TO,200
42,port alfred,-33.5906,26.891,69.42,66,97,"{'speed': 7.85, 'deg': 20, 'gust': 9.6}",ZA,200
43,ribeira grande,38.5167,-28.7,62.78,93,100,"{'speed': 14, 'deg': 164, 'gust': 21}",PT,200
44,iqaluit,63.7506,-68.5145,33.53,93,100,"{'speed': 10.36, 'deg': 150}",CA,200
45,vao,-22.6667,167.4833,77.52,77,52,"{'speed': 10.92, 'deg': 210, 'gust': 10.78}",NC,200
46,port elizabeth,-33.918,25.5701,69.1,84,100,"{'speed': 2.33, 'deg': 59, 'gust': 3.29}",ZA,200
47,upernavik,72.7868,-56.1549,32.16,98,100,"{'speed': 8.93, 'deg': 175, 'gust': 15.28}",GL,200
48,busselton,-33.65,115.3333,56.57,73,100,"{'speed': 13.49, 'deg': 242, 'gust': 25.57}",AU,200
49,khatanga,71.9667,102.5,-0.71,99,71,"{'speed': 5.12, 'deg': 59, 'gust': 4.85}",RU,200
50,hambantota,6.1241,81.1185,77.34,100,20,"{'speed': 2.3, 'deg': 0}",LK,200
51,vitim,59.4511,112.5578,22.57,95,100,"{'speed': 3.85, 'deg': 182, 'gust': 6.62}",RU,200
52,ushuaia,-54.8,-68.3,44.26,57,20,"{'speed': 6.91, 'deg': 330}",AR,200
53,serenje,-13.2325,30.2352,60.39,94,89,"{'speed': 2.3, 'deg': 96, 'gust': 2.37}",ZM,200
54,umm kaddadah,13.6017,26.6876,82.47,27,36,"{'speed': 4.54, 'deg': 200, 'gust': 5.23}",SD,200
55,longyearbyen,78.2186,15.6401,13.84,79,40,"{'speed': 6.91, 'deg': 100}",SJ,200
56,faya,18.3851,42.4509,59.52,57,32,"{'speed': 3.27, 'deg': 140, 'gust': 4.16}",SA,200
57,arraial do cabo,-22.9661,-42.0278,71.46,78,0,"{'speed': 2.3, 'deg': 90}",BR,200
